OG0000021	OX359248.1	12130989	12134884
OG0000043	OX359249.1	1913666	1914411
OG0000049	OX359247.1	14884088	14885308
OG0000059	OX359246.1	15200814	15201791
OG0000110	OX359248.1	20926753	20931690
OG0000115	OX359246.1	26759440	26759751
OG0000136	OX359245.1	34918331	34920061
OG0000146	OX359246.1	45799715	45800475
OG0000149	OX359247.1	22183380	22185269
OG0000184	OX359245.1	16336251	16337441
OG0000185	OX359247.1	55172576	55173975
OG0000195	OX359246.1	9412753	9414475
OG0000197	OX359246.1	55629833	55631049
OG0000208	OX359249.1	29865434	29868493
OG0000209	OX359249.1	275402	276229
OG0000214	OX359246.1	148711	149753
OG0000218	OX359245.1	73456127	73459063
OG0000240	OX359246.1	70904443	70905236
OG0000270	OX359247.1	36135068	36135513
OG0000272	OX359246.1	1922318	1922965
OG0000273	OX359248.1	19142430	19145282
OG0000274	OX359245.1	37942727	37944154
OG0000275	OX359246.1	58702481	58702915
OG0000277	OX359245.1	19172799	19174876
OG0000282	OX359247.1	6735956	6796057
OG0000288	OX359250.1	22810393	22815359
OG0000315	OX359245.1	28792887	28795190
OG0000347	OX359245.1	24879458	24880778
OG0000353	OX359246.1	20110900	20112972
OG0000364	OX359249.1	54375311	54376977
OG0000365	OX359248.1	19648484	19649368
OG0000394	OX359248.1	29999892	30000359
OG0000401	OX359250.1	35689639	35690956
OG0000403	OX359246.1	26251099	26252156
OG0000435	OX359248.1	15127340	15128628
OG0000460	OX359248.1	57411644	57413617
OG0000466	OX359245.1	38223127	38227949
OG0000481	OX359248.1	55375801	55393603
OG0000500	OX359250.1	39049282	39055999
OG0000507	OX359249.1	51479900	51481984
OG0000509	OX359250.1	42364608	42365965
OG0000510	OX359247.1	51399964	51401740
OG0000541	OX359250.1	20057698	20066738
OG0000556	OX359249.1	15722128	15723394
OG0000586	OX359248.1	33376091	33394030
OG0000592	OX359248.1	46610911	46615579
OG0000595	OX359248.1	49899327	49900635
OG0000601	OX359247.1	27750536	27751001
OG0000620	OX359249.1	1410308	1410664
OG0000639	OX359249.1	3915338	3918751
OG0000648	OX359247.1	19171644	19172138
OG0000669	OX359249.1	28105131	28106031
OG0000678	OX359247.1	23432986	23434628
OG0000693	OX359246.1	39379883	39382188
OG0000696	OX359247.1	54872070	54873677
OG0000698	OX359247.1	32552572	32553242
OG0000701	OX359249.1	11552116	11553719
OG0000712	OX359247.1	9151403	9155555
OG0000720	OX359248.1	10643143	10643613
OG0000742	OX359248.1	38255858	38258920
OG0000744	OX359247.1	54369385	54370587
OG0000762	OX359247.1	29994438	29995225
OG0000771	OX359245.1	31310587	31311949
OG0000788	OX359250.1	34644209	34646935
OG0000810	OX359247.1	49148156	49149976
OG0000814	OX359247.1	16609196	16610836
OG0000821	OX359246.1	66423356	66424075
OG0000824	OX359246.1	36026115	36026753
OG0000852	OX359248.1	16150757	16155047
OG0000857	OX359247.1	37193665	37199088
OG0000865	OX359246.1	5197309	5199156
OG0000872	OX359250.1	27028796	27034597
OG0000883	OX359246.1	28100368	28103185
OG0000888	OX359246.1	35064653	35067262
OG0000896	OX359245.1	44353365	44368273
OG0000909	OX359245.1	24362385	24366187
OG0000910	OX359249.1	9010139	9011898
OG0000913	OX359246.1	22869882	22873980
OG0000914	OX359248.1	16227107	16229662
OG0000916	OX359248.1	57415367	57416855
OG0000917	OX359247.1	20629717	20636521
OG0000918	OX359245.1	21922624	21942165
OG0000929	OX359248.1	38536231	38536656
OG0000932	OX359247.1	925269	926760
OG0000943	OX359249.1	42010379	42012571
OG0000944	OX359249.1	51746947	51778466
OG0000946	OX359249.1	16481098	16484071
OG0000947	OX359247.1	54214330	54215649
OG0000953	OX359248.1	28897692	28898999
OG0000972	OX359248.1	5803047	5805972
OG0000975	OX359248.1	40311943	40341280
OG0000976	OX359249.1	54157473	54181685
OG0000978	OX359246.1	42826177	42828777
OG0000983	OX359249.1	25925087	25933682
OG0000984	OX359246.1	10256230	10258624
OG0001002	OX359245.1	38049743	38050284
OG0001003	OX359249.1	8780098	8787514
OG0001013	OX359247.1	25195245	25195724
OG0001015	OX359247.1	58383469	58388906
OG0001016	OX359246.1	67211498	67213008
OG0001025	OX359245.1	78398353	78398889
OG0001032	OX359249.1	45888061	45890711
OG0001042	OX359247.1	65952345	65955819
OG0001047	OX359248.1	29793862	29795478
OG0001048	OX359249.1	41991825	41993866
